number,name,sector
8,The Hollard Insurance Company of Botswana (Pty) Ltd,General Insurer
25,Hollard Life Assurance Company of Botswana (Pty) Ltd,Life Insurer
1,Active Drive Capital (Pty) Ltd,General Insurer
2,Alpha Direct Insurance Company (Pty) Ltd,General Insurer
3,B.I.C.B Limited t/a Bryte Risk Services Botswana,General Insurer
4,BIHL Insurance Company Limited t/a Insure Guard,General Insurer
5,Botswana Insurance Company Limited,General Insurer
6,Coverlink Insurance (Pty) Ltd,General Insurer
7,Export Credit Insurance &amp; Guarantee Company (Botswana) (Pty) Ltd ,General Insurer
9,Legal Expenses Insurance Botswana (Pty) Ltd t/a Leza Legalwise Botswana ,General Insurer
10,Lords Insurance (Pty) Ltd,General Insurer
11,Mayfair Insurance Botswana (Pty) Ltd,General Insurer
12,Old Mutual Short Term Insurance  Company of Botswana Ltd,General Insurer
13,Phoenix of Botswana Assurance Company (Pty) Ltd,General Insurer
14,Sesiro Insurance Company (Pty) Ltd,General Insurer
15,Special Risks Insurance Of Botswana Limited t/a BOSRIA,General Insurer
16,Sunshine Insurance Company of Botswana (Pty) Ltd,General Insurer
17,Westsure Insurance Botswana (Pty) Ltd,General Insurer
18,Afritec Life Insurance (Pty) Ltd,Life Insurer
19,Axion Life (Pty) Ltd,Life Insurer
20,Babereki Life Insurance (Pty) Ltd,Life Insurer
21,Bona Life Insurance (Pty) Ltd,Life Insurer
22,Botswana Life Insurance Limited,Life Insurer
23,Exclusive Life Insurance (Pty) Ltd,Life Insurer
26,Liberty (Botswana) (Pty) Ltd t/a Liberty Life Botswana,Life Insurer
27,Lords Life Insurance (Pty) Ltd,Life Insurer
28,Metropolitan Life of Botswana Limited,Life Insurer
29,Old Mutual Life Insurance Company Botswana (Pty) Ltd,Life Insurer
30,Westlife Insurance Botswana (Pty) Ltd,Life Insurer
31,Continental Reinsurance Company Limited,Reinsurer
32,Continental Reinsurance Holdings Limited,Reinsurer
33,Emeritus International Reinsurance Company (Pty) Ltd,Reinsurer
34,FBC Re (Botswana) (Pty) Ltd,Reinsurer
35,FMRE Property &amp; Casualty (Proprietary) Limited,Reinsurer
36,Grand Reinsurance Botswana (Pty) Ltd,Reinsurer
37,P &amp; C Reinsurance Company (Pty) Ltd,Reinsurer
38,Saha Reinsurance (Pty) Ltd,Reinsurer
39,Solid Reinsurance (Pty) Ltd,Reinsurer
40, First Mutual Health (Pty) Ltd ,Medical Aid 
41,Botsogo Health Plan (Pty) Ltd,Medical Aid 
42,Botswana Medical Aid Society,Medical Aid 
43,Botswana Public Officers Medical Aid Scheme,Medical Aid 
44,Doctors (Pty) Ltd t/a Doctors-Aid Medical Aid Scheme,Medical Aid 
45,Pula Medical Aid Fund,Medical Aid 
46,Abovelife Insurance BrokeB3:B31rs (Pty) Ltd,Brokers
