number,name,sector
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
11,Morula Individual Retirement Fund,Individual Retirement Fund
12,Akani Retirement Fund,Individual Retirement Fund
13,Free Standing Additional Voluntary Contributions Retirement Fund,Individual Retirement Fund
14,Air Botswana Pension Fund,Pension Fund
15,AON Botswana Staff Pension Fund,Pension Fund
16,Apex Pension Fund,Pension Fund
17,Bank of Botswana Defined Contribution Fund,Pension Fund
18,ABSA Bank of Botswana Ltd. Staff Pension Fund,Pension Fund
19,BCL Staff Pension Fund,Pension Fund
20,BOCODOL Staff Pension Fund (Botswana Open University,Pension Fund
1,Mmila Beneficiary Fund,Beneficiacy Fund
2,NMG Beneficiary Fund,Beneficiacy Fund
3,Alexander Forbes Beneficiary Fund,Beneficiary Fund
4,Glenrand MIB Orphans Fund,Beneficiary Fund
5,Fiducia Beneficiary Fund,Beneficiary Fund
6,Carrier South Africa Provident Fund-External Fund,External Fund
7,Knight Pie Sold Pension Fund,External Fund
8,WIKA Instrument Pension Fund (External Fund),External Fund
9,Alexander Forbes Individual Member Retirement Fund,Individual Retirement Fund
10,Botswana Life Retirement Annuity Fund,Individual Retirement Fund
