NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP538,SINAKO KONTANT LENINGS CC,,1999/070922/23,023 315 5688,023 315 5688,11 Oranje Street Ceres 6835,Ceres,,
NCRCP5402,NCEDUMZANTSI BUSINESS SOLUTIONS CC,,2011/062415/23,047 491 8308,047 491 8377,"Room 7, TNBS Building High Street BUTTERWORTH 4960",BUTTERWORTH,,
NCRCP5437,YELLOW THUNDER PROPERTIES NO 160 CC,KIMBERLEY MICO LOANS,2007/033488/23,053 831 387,086 763 4060,32 Market Square Kimberley 8300,Kimberley,,
NCRCP5445,MASASA FINANCIAL SERVICES AND PROPERTY DEVELOPMENT CC,MASASA CASH LOANS,2008/204890/23,014 592 3907,014 592 3907,20 Pretorius Street Rustenburg 0300,Rustenburg,,
NCRCP5784,MODISCORE CC,CASH EXPRESS,2011/070801/23,042 243 3362,086 595 6889,78 Nojoli Street Somerset East 5850,Somerset East,,
NCRCP5890,LIANG CASH LOANS CC,,2010/174581/23,072 365 5512,,"Shop 15B, Pine City Centre - IN Pinecity Centre Pinetown 3600",Pinetown,,
NCRCP5923,CAI LI TRADING CC,BHUTI CASH LOANS,2009/140002/23,076 169 8885,058 643 0052,Old Lewis Building 38 Piet Retief Street Warden 9890,Warden,,
NCRCP6084,ZUNGUZA ' S FINANCIAL SERVICES (PTY) LTD,,2012/051542/07,082 665 4766,086 672 2508,Shop 9 125 Kerk Street RUSTENBURG 0299,RUSTENBURG,,
NCRCP6279,GABA CASH LOANS CC,,2010/157468/23,047 531 1360,047 531 1361,"Suit No 13,1st Floor, Tshezi Building Plot No 42 Madeira Street Southernwood MTHATHA 5099",MTHATHA,,
NCRCP6312,ZENZILE CASH LOAN (PTY) LTD,,2012/223063/07,039 699 1088,086 590 4839,"Shop T3 & T4, First Floor Hibberdene Village Mall Marline Drive HIBBERDENE 4220",HIBBERDENE,,
NCRCP6539,TEDITI TRADING ENTERPRISE CC,,2005/041773/23,012 323 0113,086 403 4820,"320 Schubart St. 805 Byron Place Suite 805, 8th Floor Pretoria 0002",Pretoria,,
NCRCP6672,BNGLAN TRADING CC,Bnglan Cash Loans,2010/092766/23,  ,086 576 6710,33A Brak Street Bloemhof 2660,Bloemhof,,
NCRCP6687,VAALPARK GENERAL TRADING (PTY) LTD,"KWIK FINANCE, AFRICAN BROTHER CASH LOAN, SUPER FAMILY CASH",2012/096776/07,016 973 1889,016 971 2759,SunShine Plaza Van Wyk Street ROODEPOORT 1724,ROODEPOORT,,
NCRCP6856,BLUE MAGNOLIA TRADING 463 CC,,2005/074447/23,053 203 0858,,15 Church Street Hopetown 8750,Hopetown,,
NCRCP6890,MADUMELANI MARIA MUHAMMED,NGHILICHI FINANCIAL SERVICES,N/A,  ,,53 Noordwes Street Louis Trichardt (Makhado) 0920,Louis Trichardt (Makhado),,
NCRCP6984,AYOMIDEMMA HOLDING (PTY) LTD,,2014/134512/07,015 962 0037,,1022 Rooikeelap Street Rosslyn Pretoria 0200,Pretoria,,
NCRCP7125,TOYIN TRADING (PTY) LTD,,2013/178518/07,015 962 0199,,Office 07 Luvhengo Complex Thohoyandou 0950,Thohoyandou,,
NCRCP7180,PAM'S FINANCIAL SERVICES (PTY) LTD,,2014/158931/07,035 798 1178,035 798 1178,9 Hedge Hunt Brackenham RICHARDS BAY 3900,RICHARDS BAY,,
NCRCP7228,PATMAT GENERAL TRADING CC,,2007/179446/23,015 962 1392,015 962 1392,Block N Muledane Thohoyandou 0950,Thohoyandou,,
NCRCP7631,GOOD FRIENDS CASH LOAN (PTY) LTD,,2015/250438/07,079 349 1015,086 597 5362,Flat No 84 Voortrekker Street HARTBEESFONTEIN 2600,HARTBEESFONTEIN,,
NCRCP10112,CASH PHAM PHAM MONEY LENDERS (PTY) LTD,,2017/068656/07,012 798 2271,012 798 2480,104 Block GG Soshanguve 0152,Soshanguve,,
NCRCP10374,WQ PRIME CASH LOANS AND TRADING (PTY) LTD,,2017/079138/07,043 762 1177,,"Shop No 6, Super Dragon Finance Mdantsane City Mall East London 5201",East London,,
NCRCP10768,VIICO (PTY) LTD,,2016/193424/07,071 300 2306,,36 Fontein Street Ficksburg 9730,Ficksburg,,
NCRCP10805,VAVIKA FINANCE (PTY) LTD,,2017/498496/07,071 966 9891,,110 Oxford Street East London 5201,East London,,
NCRCP1087,FRABERT (EDMS) BPK,CASH WISE,2004/024614/07,054 332 4585,054 431 6401,Markstraat 45 Upington 8800,Upington,,
NCRCP1122,MA - LE GRANGE BK,,1999/63967/23,053 497 3168,053 497 5902,54 Uys Street Warrenton 8530,Warrenton,,
NCRCP11329,TSOELLI (PTY) LTD,TSWELOPELE CASH LOAN,2018/220586/07,083 950 8349,,7 Van Raalte Street Eureka Bethlehem 9701,Bethlehem,,
NCRCP11332,OREL ENTERPRISES (PTY) LTD,,2018/076797/07,081 826 7479,,37 Jorrison Street PIETERSBURG 0699,PIETERSBURG,,
NCRCP11532,DLAMINI ZAK ENTERPRISE (PTY) LTD,,2018/312575/07,082 676 7353,,3097 Luvuyo Street Kanana Ext 5 Rabie Ridge HALFWAY HOUSE 1685,HALFWAY HOUSE,,
NCRCP1163,COMPREHENSIVE FINANCIAL SERVICES WITBANK CC,,1999/40250/23,013 656 3330,013 656 3330,"Geen & Richards Building, 1st Floor Escombe Street Witbank 1035",Witbank,,
NCRCP7914,MATHUSA BATHO FINANCIAL SERVICES CC,BASHASHA FINANCIAL SERVICES,2005/046111/23,051 991 1204,051 991 1204,17 Van Der Walt Street Marquard 9610,Marquard,,
NCRCP8029,GENDRIE VERSPREIDERS (PTY) LTD,GOLDEN POT CASH LOANS,2019/401034/07,082 262 1224,,479 Sannie Street Hercules Pretoria West Pretoria 0084,Pretoria,,
NCRCP8130,MONEY MANIA CASH LOANS CC,,2010/165004/23,082 482 8251,,Shop No 3 Madibogo Jianyong Supermarket Madibogo 8655,Madibogo,,
NCRCP8170,JASON CASH LOANS (PTY) LTD,,2016/132690/07,018 381 0617,,16 Main Street MAFIKENG 2745,MAFIKENG,,
NCRCP8205,WALTER FOBIAN,EASY CASH,N/A,063 122 4170,,30 Boundary Road Queensburg Durban 4093,Durban,,
NCRCP8478,JOHANNES HENDRIK SEBASTIAAN BERNARDO,SECURE PRIME SOLUTION,N/A,053 497 3612,086 750 5050,Kerkstraat 14B Warrenton NORTHERN CAPE 8530,NORTHERN CAPE,,
