NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP19625,HATARI CASHLOAN SOLUTION (PTY) LTD,,2024/190715/07,073 300 8585,,Unit 10 Blackpool Road Bluff Durban 4093,Durban,6/11/2024,Registered!
NCRCP19626,BUHLEBENKOSI LOGISTIC (PTY) LTD,,2016/272191/07,083 542 5849,,Mabuyeni Reserve Ward 13 Esikhawini 3887,Esikhawini,6/8/2024,Registered!
NCRCP19627,SHOOM CAPITAL (PTY) LTD,SHOOM,2024/137032/07,073 612 0512,,Liberty Life Building 21 Aurora Drive Umhlanga 4319,Umhlanga,6/7/2024,Registered!
NCRCP19628,SHAZPAY CASH LOANS (PTY) LTD,,2023/277534/07,082 479 2881,,1473 Nkowankowa Section B Letaba 0870,Letaba,6/7/2024,Registered!
NCRCP19629,SHUNDA SAVE TRADING (PTY) LTD,,2023/216662/07,065 533 9616,,7 Complex Main Road Ganyesa 8613,Ganyesa,6/10/2024,Registered!
NCRCP19630,MOLETE FINANCIAL SERVICES (PTY) LTD,,2023/227728/07,084 612 3747,,5 Princess Elizabeth Street Egerton Ladysmith 3370,Ladysmith,6/10/2024,Registered!
NCRCP19631,TUNIGYN (PTY) LTD,,2016/528926/07,079 506 9555,,5 Danie Uys Street Stikland 7530,Stikland,5/16/2024,Registered!
NCRCP19632,TECTONIC MINING FUND (PTY) LTD,,2020/023696/07,  ,,"Block D, 2nd Floor Upper Grayston Office Park 152 Ann Crescent Sandton 2146",Sandton,5/31/2024,Registered!
NCRCP19633,SUNGU CAPITAL (PTY) LTD,,2023/192631/07,065 531 4962,,Mzinudzi Reserve Ward 06 Meerensee 3901,Meerensee,6/12/2024,Registered!
NCRCP19634,ERNA MEIJERS,E. MEIJERS E MEIJERS,N/A,066 314 2023,,3 O'Meara Street Monument Heights Kimberley 8301,Kimberley,6/7/2024,Registered!
NCRCP19635,OMPHILEMAKGABANE (PTY) LTD,,2024/167441/07,071 139 5533,,27317 Vista Park BLOEMFONTEIN 9301,BLOEMFONTEIN,6/3/2024,Registered!
NCRCP19636,SHANDUKANDABA GROUP (PTY) LTD,,2020/857467/07,078 972 2199,,Stand 90061 Zakheni Ext 2 Kwamhlanga 1022,Kwamhlanga,6/4/2024,Registered!
NCRCP19637,MCL FINANCIAL SOLUTION (PTY) LTD,,2023/269820/07,079 429 6739,,Stand No 1435 Unit C Miluwani Jan Thari Street Thohoyandou 0950,Thohoyandou,6/5/2024,Registered!
NCRCP19638,PEYO2001 (PTY) LTD,,2021/626657/07,083 341 8530,,4 Lennox Road Lincoln Maede Pietermaritzburg 3201,Pietermaritzburg,6/10/2024,Registered!
NCRCP19640,KUYABONELELWA FINANCIAL SERVICES (PTY) LTD,,2023/743890/07,073 263 0900,,337 B Dunbar Road Cato Manor Mayville Durban 4091,Durban,6/7/2024,Registered!
