NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP3268,CHEEL INVESTMENTS (PTY) LTD,,1985/003299/07,011 274 2100,011 274 2101,6 St Andrews Road Johannesburg 2193,Johannesburg,,
NCRCP3269,DIVELLANT INVESTMENTS (PTY) LTD,,1991/003140/07,010 350 4530,,6st Andrews Road Parktown Johannesburg 2193,Johannesburg,,
NCRCP3273,PRO - BIZ FINANCIAL SERVICES CC,,2006/122927/23,011 412 2787,086 699 2913,32 Park Street RANDFONTEIN 1759,RANDFONTEIN,,
NCRCP3275,S A FREIGHT MANAGEMENT (PTY) LTD,FREIGHT MANAGEMENT,1994/00904/07,021 551 4940,021 551 4949,18 Railway Road Montague Gardens 7441,Montague Gardens,,
NCRCP3277,JAWMEND ROSSI CAPITAL (PTY) LTD,,2002/031934/07,011 531 5493,011 555 9143,"Melrose Arch, 2nd Floor 18 Melrose Boulevard Melrose North 2196",Melrose North,,
NCRCP3282,SMH FINANCIAL SERVICES (PTY) LTD,,2001/008007/07,011 621 6336,086 615 9600,17 Friesland Drive Long Meadow EDENVALE 1609,EDENVALE,,
NCRCP3288,YOGA'S 4 WHEEL CARS CC,4 WHEEL CAR SALES,2005/021612/23,013 282 6450,086 6516 349,222 Cowan Ntuli Street Middelburg 1050,Middelburg,,
NCRCP329,HEYNS FINANCE CC,AFRICA FINANCING,1999/055740/23,034 981 4539,034 981 4539,241 Church Street Vryheid 3100,Vryheid,,
NCRCP3298,WELLINGTON CASH LOANS CC,,2008/096572/23,021 873 2689,086 624 4501,"Shop 33, Market Plain Street Melline Street Wellington 7655",Wellington,,
NCRCP330,MACROVEST 135 CC,,2007/110039/23,  ,086 577 8004,40 Snowwater Road Dorchester Heights East London 5201,East London,,
NCRCP10001,NICHE CASH SOLUTIONS (PTY) LTD,,2010/001697/07,011 043 6900,,"The Braides Office Park Building A, 113 Bowling Avenue Gallo Manor Sandton 2146",Sandton,,
NCRCP10006,CROSS ATLANTIC PROPERTIES 41 (PTY) LTD,,2005/017428/07,013 752 2119,,Russel Street Chambers 26 Russel Street Nelspruit 1200,Nelspruit,,
NCRCP10007,JACOBUS ANDRIES NICOLAAS VAN DER VLIES,,N/A,082 808 0992,044 690 3930,28 P. Mellifera Street Dana Bay 6510,Dana Bay,,
NCRCP10027,AROGELANANG CASH SERVICES (PTY) LTD,AROGELANANG CASH SERVICES (PTY) LTD,2015/160017/07,076 684 2077,,1148 Block NN SOSHANGUVE 0152,SOSHANGUVE,,
